hospital_id;hospital_name;city;x_lon;y_lat;region
1;HUSLAB MEILAHTI VERIKESKUS;Helsinki;24,94;60,19;southeast
2;HUSLAB HYVINKÄÄN SAIRAALA VERIKESKUS;Hyvinkää;24,86;60,63;southeast
3;PHKS VERIKESKUS LAHTI;Lahti;25,66;60,98;mid-east
4;TYKSLAB VERIKESKUS;Turku;22,27;60,45;southwest
5;HUSLAB JORVIN SAIRAALA VERIKESKUS;Espoo;24,66;60,22;southeast
6;HUSLAB PEIJAKSEN SAIRAALA VERIKESKUS;Vantaa;25,04;60,32;southeast
7;FIMLAB TAMPERE VERIKESKUS;Tampere;23,76;61,5;mid-west
8;POHJOIS-KYMEN SAIRAALA VERIKESKUS;Kouvola;26,7;60,87;mid-east
9;KYMKS VERIKESKUS KOTKA;Kotka;26,95;60,47;southeast
10;SEINÄJOEN KS VERIKESKUS;Seinäjoki;22,84;62,79;mid-west
11;VAASAN KS VERIKESKUS;Vaasa;21,62;63,1;northwest
12;NORDLAB KOKKOLA VERIKESKUS;Kokkola;23,13;63,84;northwest
13;ISLAB KUOPIO VERIKESKUS;Kuopio;27,68;62,89;mid-east
14;ISLAB JOENSUU VERIKESKUS;Joensuu;29,76;62,6;mid-east
15;NORDLAB OULU VERIKESKUS;Oulu;25,47;65,01;northeast
16;NORDLAB ROVANIEMI VERIKESKUS;Rovaniemi;25,73;66,5;northeast
17;HUSLAB TÖÖLÖN SAIRAALA;Helsinki;24,92;60,18;southeast
18;HUSLAB LOHJAN SAIRAALA VERIKESKUS;Lohja;24,09;60,25;southwest
19;FIMLAB HÄMEENLINNA VERIKESKUS;Hämeenlinna;24,47;61;mid-west
20;FIMLAB VERIKESKUS JYVÄSKYLÄ;Jyväskylä;25,75;62,24;mid-east
21;ISLAB MIKKELI VERIKESKUS;Mikkeli;27,27;61,69;mid-east
22;NORDLAB KEMI VERIKESKUS;Kemi;24,56;65,74;northwest
23;HUSLAB KIRURGINEN SAIRAALA;Helsinki;24,94;60,16;southeast
24;HUSLAB PORVOON SAIRAALA;Porvoo;25,66;60,39;southeast
25;SATADIAG VERIKESKUS PORI;Pori;21,79;61,49;mid-west
26;EKKS VERIKESKUS LAPPEENRANTA;Lappeenranta;28,19;61,06;mid-east
27;ÅLANDS CENTRALSJUKHUS MAARIANHAMINA;Mariehamn;19,95;60,1;southwest
28;SAIRAALA LAPPONIA KEMIJÄRVI;Kemijärvi;27,43;66,71;northeast
29;HUSLAB KÄTILÖOPISTON SAIRAALA;Helsinki;24,93;60,18;southeast
30;NORDLAB OULASKANGAS VERIKESKUS;Oulainen;24,82;64,27;northwest
31;NORDLAB KAJAANI VERIKESKUS;Kajaani;27,73;64,23;northeast
32;HUSLAB TAMMISAARI;Tammisaari;23,44;59,98;southwest
33;YLIVIESKAN TERVEYSKESKUS LABORATORIO;Ylivieska;24,55;64,07;northwest
34;SALON ALUESAIRAALA VERIKESKUS;Salo;23,13;60,38;southwest
35;ISLAB SAVONLINNA VERIKESKUS;Savonlinna;28,88;61,87;mid-east
36;LOIMAAN ALUESAIRAALA VERIKESKUS;Loimaa;23,06;60,85;mid-west
37;PIETARSAAREN SAIRAALA VERIKESKUS;Pietarsaari;22,7;63,68;northwest
38;SATADIAG VERIKESKUS RAUMA;Rauma;21,5;61,13;mid-west
39;ORTON HELSINKI;Helsinki;24,9;60,22;southeast
40;NIVALAN TK LÄÄKEKESKUS;Nivala;24,97;63,93;northwest
41;ÄHTÄRIN SAIRAALA VERIKESKUS;Ähtäri;24,06;62,55;mid-west
42;KYS IISALMEN SAIRAALA LABORATORIO;Iisalmi;27,19;63,56;mid-east
43;RAAHEN SAIRAALA NORDLAB;Raahe;24,48;64,68;northwest
44;ISLAB PIEKSÄMÄEN LABORATORIO VERIKESKUS;Pieksämäki;27,13;62,3;mid-east
45;ISLAB VARKAUDEN SAIRAALA VERIKESKUS;Varkaus;27,87;62,32;mid-east
46;FOIBOS OY;Helsinki;24,94;60,17;southeast
47;KUUSAMON TK VERIKESKUS;Kuusamo;29,18;65,97;northeast
48;DOCRATES OY HELSINKI;Helsinki;24,93;60,18;southeast
49;VAKKA-SUOMEN SAIRAALA VERIKESKUS;Uusikaupunki;21,41;60,8;southwest
50;FORSSAN SAIRAALA VERIKESKUS;Forssa;23,62;60,81;mid-west
51;EIRAN SAIRAALA HELSINKI;Helsinki;24,94;60,16;southeast
52;PYHÄJÄRVEN TERVEYSKESKUS;Pyhäjärvi;25,99;63,68;northwest
53;HYVINKÄÄN TERVEYSKESKUS LABORATORIO;Hyvinkää;24,86;60,63;southeast
54;POSION TERVEYSKESKUS;Posio;28,17;66,11;northeast
55;TAIVALKOSKEN TERVEYSKESKUS;Taivalkoski;28,48;65,57;northeast
56;HAAPAJÄRVEN TERVEYSKESKUS;Haapajärvi;25,45;63,75;northwest
57;SOSIAALI- JA TERVEYSPIIRI HELMI;Haapavesi;25,37;64,14;northwest
58;STELLA OY KOTISAIRAALA HELSINKI;Helsinki;24,94;60,17;southeast
59;REGION GÄVLEBORG LABORATORIE;Gävle;17,14;60,67;southwest
60;TERVEYSTALO KAMPPI HELSINKI;Helsinki;24,93;60,17;southeast
61;HUSLAB MALMIN SAIRAALAN LABORATORIO;Helsinki;25,01;60,25;southeast
62;HELSINGIN YLIOPISTO FARMASIAN LAITOS;Helsinki;24,96;60,21;southeast